id	pid	snippet	core
beps-a04-interest-deductions-nta-ja-p097	p097	事例 7c：投資企業集団が支配する合弁企業 図 D.4 投資企業集団が支配する合弁企業 273. 合弁企業が合弁事業のパートナーの1 つに支配されている場合、当該合弁企業は、一般的に 支配グループの連結財務諸表に記載され、その結果、グループ比率ルールの適用上、当該グループの 一部	text/oecd-beps/beps-a04-interest-deductions-nta-ja-pack-15.txt
beps-a04-interest-deductions-nta-ja-p098	p098	事例 7d：投資企業集団が支配しない合弁企業 図 D.5 投資企業集団が支配しない合弁企業 275. 合弁企業を全般的に支配する投資者がない場合、各投資企業集団は、通常、持分会計を用い て集団の連結財務諸表に合弁事業を記載することになる。合弁企業は、いずれの投資企業集団にも連 結	text/oecd-beps/beps-a04-interest-deductions-nta-ja-pack-15.txt
beps-a04-interest-deductions-nta-ja-p099	p099	事例 7e：投資企業が率いる保有構造 図 D.6 投資企業が率いる保有構造 276. 本事例において親会社 A は投資企業の会社であり、3 つの会社を直接支配している。親会社 A は、構造の最高レベルの会社である。 277. 子会社 A は、親会社 A の投資活動に関連するサービ	text/oecd-beps/beps-a04-interest-deductions-nta-ja-pack-15.txt
beps-a04-interest-deductions-nta-ja-p100	p100	事例 8：企業の税務上のEBITDA 又は会計上のEBITDA に対するグループ比率ルールの適用 280. 第 7 章で定めるとおり、グループ比率ルールを適用する際には、租税原則又は会計原則を用 いて企業のEBITDA を算定することができる。上記のそれぞれの取組みには長所と短所	text/oecd-beps/beps-a04-interest-deductions-nta-ja-pack-15.txt
beps-a04-interest-deductions-nta-ja-p101	p101	事例 8c：税務上と会計上の利子の定義の相違に応じた会計ベースの利子の損金算入限度額の調整 285. 本事例では、税務上と会計上の企業の支払利子の相違による影響を軽減する取組みを明らか にする。本取組みに基づき、事例 8b で算定した会計ベースの利子の損金算入限度額を会計上の企業	text/oecd-beps/beps-a04-interest-deductions-nta-ja-pack-15.txt
beps-a04-interest-deductions-nta-ja-p102	p102	事例 9：グループ内の赤字の企業への対処 事例 9a：グループ比率ルールの運用に及ぼす損失の影響 表 D.7 グループ比率ルールの運用に及ぼす損失の影響 A 社 （ドル） B 社 （ドル） C 社 （ドル） グループ （ドル） EBITDA 1 億 1,000 万 （1 億） 1	text/oecd-beps/beps-a04-interest-deductions-nta-ja-pack-15.txt
beps-a04-interest-deductions-nta-ja-p103	p103	事例 9b：利子の損金算入限度額に対する上限の適用 表 D.8 利子の損金算入限度額に対する上限の適用 A 社 （ドル） B 社 （ドル） C 社 （ドル） グループ （ドル） EBITDA 1 億 1,000 万 （1 億） 1,000 万 純利子 （2,000 万） （200	text/oecd-beps/beps-a04-interest-deductions-nta-ja-pack-15.txt
beps-a04-interest-deductions-nta-ja-p104	p104	事例 9c：連結EBITDA がマイナスのグループ 表 D.9 連結 EBITDA がマイナスのグループ A 社 （ドル） B 社 （ドル） C 社 （ドル） グループ （ドル） EBITDA 1 億 1,000 万 （1 億2,000 万） （1,000 万） 純利子 （2,0	text/oecd-beps/beps-a04-interest-deductions-nta-ja-pack-15.txt
beps-a04-interest-deductions-nta-ja-p105	p105	事例 9d：赤字の企業を黒字のグループのEBITDA の算定から除外 表 D.10 赤字の企業を黒字のグループの EBITDA の算定から除外 A 社 （ドル） B 社 （ドル） C 社 （ドル） グループ （ドル） EBITDA 1 億 1,000 万 （1 億） 1 億1,0	text/oecd-beps/beps-a04-interest-deductions-nta-ja-pack-15.txt
beps-a04-interest-deductions-nta-ja-p106	p106	事例9e：赤字の企業を赤字のグループのEBITDA の算定から除外 表 D.11 赤字の企業を赤字のグループの EBITDA の算定から除外 A 社 （ドル） B 社 （ドル） C 社 （ドル） グループ （ドル） EBITDA 1 億 1,000 万 （1 億2,000 万） 	text/oecd-beps/beps-a04-interest-deductions-nta-ja-pack-16.txt
beps-a04-interest-deductions-nta-ja-p107	p107	事例 10：3 年間の平均値に基づくEBITDA を用いた固定比率ルール 301. 本事例では、企業のEBITDA の3 年間の移動平均を用いて、固定比率ルールに基づく利益の 一時的下落の否定的影響をいかに軽減することができるかを明らかにする。 表 D.12 3 年間の平均値に基	text/oecd-beps/beps-a04-interest-deductions-nta-ja-pack-16.txt
beps-a04-interest-deductions-nta-ja-p108	p108	の損金算入が可能な限度額を算定することによる効果を明らかにする。3 年間の平均値を用いる結果、 利益の一時的な下落は 3 年間にわたって分散する。上記の効果によって、企業はt 年度に支払利子の 全額を損金算入することができるが、元の場合と比べると、t  1 年度とt  2 年	text/oecd-beps/beps-a04-interest-deductions-nta-ja-pack-16.txt
beps-a08-10-tp-value-creation-nta-ja-p001	p001	移転価格税制と価値創造の一致 行動８－10 2015 年最終報告書（抜粋） 仮訳	text/oecd-beps/beps-a08-10-tp-value-creation-nta-ja-pack-00.txt
beps-a08-10-tp-value-creation-nta-ja-p002	p002	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 目次 独立企業原則の適用の指針 移転価格ガイドライン第1 章 D 節の改訂 ......................................................................	text/oecd-beps/beps-a08-10-tp-value-creation-nta-ja-pack-00.txt
beps-a08-10-tp-value-creation-nta-ja-p003	p003	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 独立企業原則の適用の指針 移転価格ガイドライン第 1 章 D 節の改訂 D.1. 商業上又は資金上の関係の特定 1.33 パラグラフ 1.6 で述べたように、「比較可能性分析」は独立企業原則の適用における 核心である	text/oecd-beps/beps-a08-10-tp-value-creation-nta-ja-pack-00.txt
beps-a08-10-tp-value-creation-nta-ja-p004	p004	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 ・ 取引の契約条件（D.1.1） ・ 取引の各当事者が果たす機能で、使用する資産及び引き受けるリスクを考慮に入れた もの（当事者が所属する多国籍企業グループによる、より広範な価値の創造にそれらの 機能がどのように関係	text/oecd-beps/beps-a08-10-tp-value-creation-nta-ja-pack-00.txt
beps-a08-10-tp-value-creation-nta-ja-p005	p005	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 連する特徴の差異は、比較される状況の間に比較可能性があるかどうか、及び比較可能性を 確保するためにどのような調整が必要とされるかを明らかにする際に、考慮される必要があ る。 1.40 独立企業原則を適用する全ての方法	text/oecd-beps/beps-a08-10-tp-value-creation-nta-ja-pack-00.txt
beps-a08-10-tp-value-creation-nta-ja-p006	p006	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 の）、移転される資産及び提供される役務の特徴、当事者と当事者が活動する市場の経済状 況、及び当事者が追求する経営戦略によって規定される商業上及び資金上の関係を明らかに するには、更なる情報が必要である。まとめると、五	text/oecd-beps/beps-a08-10-tp-value-creation-nta-ja-pack-01.txt
beps-a08-10-tp-value-creation-nta-ja-p007	p007	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 業間の取引条件は、時間の経過と共に変わる可能性があるということに留意しなければなら ない。取引条件が変更されている場合、その変更は変更日から有効に当初の取引が新しい取 引に置き換わったことを示すものであるか、あるいは	text/oecd-beps/beps-a08-10-tp-value-creation-nta-ja-pack-01.txt
beps-a08-10-tp-value-creation-nta-ja-p008	p008	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 を通し間接的にも支払いを行っておらず、かつ、P 社と子会社間に役務提供契約も存在しな い。結論として、独立企業から子会社への役務の提供に加えて、P 社と子会社の間に商業上 又は資金上の関係があり、当該関係によって P	text/oecd-beps/beps-a08-10-tp-value-creation-nta-ja-pack-01.txt
