doc_code	item_id	item_title
shitsugi_hojin	04-11	中小企業者等の少額減価償却資産の取得価額の損金算入の特例(措法67の5)の適用対象資産の範囲について(リース資産)
shitsugi_hojin	04-12	自社の事務室の蛍光灯を蛍光灯型LEDランプに取り替えた場合の取替費用の取扱いについて
shitsugi_hojin	04-13	PFI事業(独立採算型)を行うに当たり有することとなる公共施設等運営権の取扱い
shitsugi_hojin	04-14	周波数移行に伴うソフトウェア修正費用の取扱い
shitsugi_hojin	04-15	老朽化地下貯蔵タンクに対する危険物流出防止対策費用に係る税務上の取扱い
shitsugi_hojin	04-16	中小企業者等が取得をした働き方改革に資する減価償却資産の中小企業経営強化税制（租税特別措置法第42条の12の4）の適用について
shitsugi_hojin	04-17	清算結了する場合におけるグループ法人税制で繰り延べた譲渡損益の取扱いについて
shitsugi_hojin	05-01	展示実演用機械
shitsugi_hojin	05-02	貨車を倉庫等として使用する場合の耐用年数
shitsugi_hojin	05-03	建物の一部分を取得した場合の耐用年数
shitsugi_hojin	05-04	高層ビルを区分所有した場合の耐用年数
shitsugi_hojin	05-05	アスファルトコンクリート敷の舗装道路の細目判定
shitsugi_hojin	05-06	人工芝の耐用年数
shitsugi_hojin	05-07	登録を要しない自動車の耐用年数
shitsugi_hojin	05-08	自走式クローラダンプの耐用年数
shitsugi_hojin	05-09	ドア自動管理装置の耐用年数
shitsugi_hojin	05-10	結婚式場用資産の耐用年数
shitsugi_hojin	05-11	電気通信工事業者が有する機械設備の耐用年数
shitsugi_hojin	05-12	風力・太陽光発電システムの耐用年数について
shitsugi_hojin	05-13	空撮専用ドローンの耐用年数
shitsugi_hojin	06-01	会館建設のための負担金
shitsugi_hojin	06-02	ホテルチェーンに加盟するに当たり支出する加盟一時金
shitsugi_hojin	06-03	繰延資産の償却費として損金経理をした金額の意義等
shitsugi_hojin	06-04	耐用年数の短縮承認を受けた資産に係る繰延資産の償却期間
shitsugi_hojin	06-05	試験研究費の額に含まれる人件費の額の範囲
shitsugi_hojin	06-06	太陽光発電設備の連系工事負担金の取扱いについて
shitsugi_hojin	07-01	保険差益の圧縮記帳における滅失経費の範囲
shitsugi_hojin	07-02	盗難により支払を受けた保険金に係る保険差益の圧縮記帳
shitsugi_hojin	07-03	交換により取得した土地の圧縮記帳の可否について
shitsugi_hojin	07-05	保険差益の圧縮記帳と特定資産の買換えによる圧縮記帳との関係
shitsugi_hojin	07-06	交換と売買とが併せて行われた場合の取扱い
shitsugi_hojin	07-07	圧縮記帳の対象となる交換の範囲
shitsugi_hojin	07-08	底地同士を交換する場合の交換の圧縮記帳
shitsugi_hojin	07-09	借地権と底地との交換に伴う圧縮記帳
shitsugi_hojin	07-10	複数の土地と複数の土地とを交換した場合の圧縮記帳
shitsugi_hojin	07-11	間接交付された国又は地方公共団体の補助金で取得した固定資産の圧縮記帳の適用について
shitsugi_hojin	08-01	特定資産の買換えの場合の譲渡経費の範囲等
shitsugi_hojin	08-02	譲渡資産について契約解除があった場合の圧縮記帳の取戻し
shitsugi_hojin	08-03	解散により買換取得資産を事業の用に供しなくなった場合の取扱い
shitsugi_hojin	08-04	賃借建物にした造作を買換資産とする場合の取扱い
shitsugi_hojin	08-05	埋立地を買換資産とする場合のその取得の時期等
shitsugi_hojin	08-06	特定の資産の買換えの場合の圧縮記帳（3号）における買換資産の範囲（他の者が建築する倉庫の敷地の用に供される見込みの土地）
shitsugi_hojin	08-07	買換資産が分譲マンションの複数の専有部分（部屋）である場合の面積要件の判定
shitsugi_hojin	08-09	特定資産の買換特例（第3号）において買換資産が複数の土地等である場合の面積要件の判定について
shitsugi_hojin	08-10	租税特別措置法第65条の７《特定の資産の買換えの場合の課税の特例》における譲渡資産の範囲（貸付けの用に供されている船舶）
shitsugi_hojin	09-01	ゴルフ場について会社更生法の申立てがあった場合のゴルフ会員権に対する貸倒引当金の計上
shitsugi_hojin	09-02	準備金の差額積立て等
shitsugi_hojin	09-03	私的整理手続により弁済期限を延長した金銭債権に係る貸倒引当金の取扱い
shitsugi_hojin	09-04	ゴルフ会員権が金銭債権に転換する時期
shitsugi_hojin	09-05	貸倒引当金の繰入対象となる個別評価金銭債権の範囲について（法人預金者の有する預金の該当性）
shitsugi_hojin	09-06	保証機関による保証のある長期棚上げ債権に対する貸倒引当金の繰入れ
shitsugi_hojin	10-01	輸入貿易手形借入金の期限延長
shitsugi_hojin	11-01	相続財産に含まれる株式が未分割である場合の使用人兼務役員の判定
