doc_code	item_id	item_title
bunshokaito_shotoku	100723-index	ノー・マイカーデー制度を利用する従業員等に対し、通勤手当に加えて通勤用定期乗車券が別途支給される場合の非課税となる通勤手当の限度額の取扱いについて
bunshokaito_shotoku	101207-index	口蹄疫対策特別措置法等に基づき交付される手当金等に対する肉用牛の売却による農業所得の課税の特例措置(租税特別措置法第25条)等における取扱いについて
bunshokaito_shotoku	101213-01	保険契約者が死亡保険金請求権を信託財産とする生命保険信託契約を締結した場合の生命保険料控除の適用について
bunshokaito_shotoku	101217-index	ねんりんピック2011熊本(第24回全国健康福祉祭くまもと大会)において協賛者が支出する費用の税務上の取扱いについて
bunshokaito_shotoku	110210-index	金融機関が破綻した場合における預金保険制度による保護の対象外の預金に係る所得税及び法人税の取扱いについて
bunshokaito_shotoku	110215-01	青少年育成支援金支給事業における支援金の取扱いについて
bunshokaito_shotoku	110217-01	吉川英治文学新人賞の受賞に伴って受領した副賞の取扱いについて
bunshokaito_shotoku	110221-index	非血縁者間末梢血幹細胞移植のあっせんに係る財団法人骨髄移植推進財団に支払われる患者負担金の医療費控除の取扱いについて
bunshokaito_shotoku	110307-01	介護保険制度の介護予防事業として行ったボランティア活動により付与されたポイントを換金した場合の所得税の取扱いについて
bunshokaito_shotoku	110315-01	業務災害時に社内基準に基づき労働者災害補償保険法及び給与規程とは別に役員及び従業員に支払われる補償金の課税関係について
bunshokaito_shotoku	110331-index	第24回全国スポーツ・レクリエーション祭「スポレク“エコとちぎ”2011」への協賛者が支出する協賛金等の税務上の取扱いについて
bunshokaito_shotoku	110607-index	第67回国民体育大会冬季大会スケート競技会(ショートトラック・フィギュア)・アイスホッケー競技会において協賛者が支出する費用の税務上の取扱いについて
bunshokaito_shotoku	110620-01	会社型投資信託から契約型投資信託への移行により個人投資家の有する会社型投資信託の投資証券の消滅の対価として契約型投資信託の受益権が交付される場合の課税関係について
bunshokaito_shotoku	110704	ねんりんピック宮城・仙台2012において協賛者が支出する費用の税務上の取扱いについて
bunshokaito_shotoku	110704-index	集団予防接種等に起因するB型肝炎訴訟における「基本合意」により和解対象者が支払を受ける和解金等の課税関係について
bunshokaito_shotoku	110809-index	株式交換に反対する個人株主の株式が買取請求に基づき買い取られた場合の課税関係について
