law: 減価償却資産の耐用年数等に関する省令 (taiyounensuu_kisoku)
law_type: rule / law_num: 昭和四十年大蔵省令第十五号 / egov_id: 340M50000040015 / as_of: 2025-04-01
article: beppyo-9 / title: 別表第九

| 耐用年数 | 償却率 | 改定償却率 | 保証率 |
| 七九 | 〇・〇三二 | 〇・〇三三 | 〇・〇〇六九三 |
| 八〇 | 〇・〇三一 | 〇・〇三二 | 〇・〇〇六九三 |
| 八一 | 〇・〇三一 | 〇・〇三二 | 〇・〇〇六八三 |
| 八二 | 〇・〇三〇 | 〇・〇三一 | 〇・〇〇六八三 |
| 八三 | 〇・〇三〇 | 〇・〇三一 | 〇・〇〇六七三 |
| 八四 | 〇・〇三〇 | 〇・〇三一 | 〇・〇〇六五三 |
| 八五 | 〇・〇二九 | 〇・〇三〇 | 〇・〇〇六五三 |
| 八六 | 〇・〇二九 | 〇・〇三〇 | 〇・〇〇六四五 |
| 八七 | 〇・〇二九 | 〇・〇三〇 | 〇・〇〇六二七 |
| 八八 | 〇・〇二八 | 〇・〇二九 | 〇・〇〇六二七 |
| 八九 | 〇・〇二八 | 〇・〇二九 | 〇・〇〇六二〇 |
| 九〇 | 〇・〇二八 | 〇・〇二九 | 〇・〇〇六〇三 |
| 九一 | 〇・〇二七 | 〇・〇二七 | 〇・〇〇六四九 |
| 九二 | 〇・〇二七 | 〇・〇二七 | 〇・〇〇六三二 |
| 九三 | 〇・〇二七 | 〇・〇二七 | 〇・〇〇六一五 |
| 九四 | 〇・〇二七 | 〇・〇二七 | 〇・〇〇五九八 |
| 九五 | 〇・〇二六 | 〇・〇二七 | 〇・〇〇五九四 |
| 九六 | 〇・〇二六 | 〇・〇二七 | 〇・〇〇五七八 |
| 九七 | 〇・〇二六 | 〇・〇二七 | 〇・〇〇五六三 |
| 九八 | 〇・〇二六 | 〇・〇二七 | 〇・〇〇五四九 |
| 九九 | 〇・〇二五 | 〇・〇二六 | 〇・〇〇五四九 |
| 一〇〇 | 〇・〇二五 | 〇・〇二六 | 〇・〇〇五四六 |
