law: 減価償却資産の耐用年数等に関する省令 (taiyounensuu_kisoku)
law_type: rule / law_num: 昭和四十年大蔵省令第十五号 / egov_id: 340M50000040015 / as_of: 2025-04-01
article: beppyo-1 / title: 別表第一

| 種類 | 構造又は用途 | 細目 | 耐用年数 |
|  | 金属造のもの（骨格材の肉厚が四ミリメートルを超えるものに限る。） | 塩、チリ硝石その他の著しい潮解性を有する固体を常時蔵置するためのもの及び著しい蒸気の影響を直接全面的に受けるもの | 二五 |
|  | 金属造のもの（骨格材の肉厚が四ミリメートルを超えるものに限る。） | その他のもの |  |
|  | 金属造のもの（骨格材の肉厚が四ミリメートルを超えるものに限る。） | 倉庫事業の倉庫用のもの |  |
|  | 金属造のもの（骨格材の肉厚が四ミリメートルを超えるものに限る。） | 冷蔵倉庫用のもの | 一九 |
|  | 金属造のもの（骨格材の肉厚が四ミリメートルを超えるものに限る。） | その他のもの | 二六 |
|  | 金属造のもの（骨格材の肉厚が四ミリメートルを超えるものに限る。） | その他のもの | 三一 |
|  | 金属造のもの（骨格材の肉厚が三ミリメートルを超え四ミリメートル以下のものに限る。） | 事務所用又は美術館用のもの及び左記以外のもの | 三〇 |
|  | 金属造のもの（骨格材の肉厚が三ミリメートルを超え四ミリメートル以下のものに限る。） | 店舗用、住宅用、寄宿舎用、宿泊所用、学校用又は体育館用のもの | 二七 |
|  | 金属造のもの（骨格材の肉厚が三ミリメートルを超え四ミリメートル以下のものに限る。） | 飲食店用、貸席用、劇場用、演奏場用、映画館用又は舞踏場用のもの | 二五 |
|  | 金属造のもの（骨格材の肉厚が三ミリメートルを超え四ミリメートル以下のものに限る。） | 変電所用、発電所用、送受信所用、停車場用、車庫用、格納庫用、荷扱所用、映画製作ステージ用、屋内スケート場用、魚市場用又はと畜場用のもの | 二五 |
|  | 金属造のもの（骨格材の肉厚が三ミリメートルを超え四ミリメートル以下のものに限る。） | 旅館用、ホテル用又は病院用のもの | 二四 |
|  | 金属造のもの（骨格材の肉厚が三ミリメートルを超え四ミリメートル以下のものに限る。） | 公衆浴場用のもの | 一九 |
|  | 金属造のもの（骨格材の肉厚が三ミリメートルを超え四ミリメートル以下のものに限る。） | 工場（作業場を含む。）用又は倉庫用のもの |  |
|  | 金属造のもの（骨格材の肉厚が三ミリメートルを超え四ミリメートル以下のものに限る。） | 塩素、塩酸、硫酸、硝酸その他の著しい腐食性を有する液体又は気体の影響を直接全面的に受けるもの及び冷蔵倉庫用のもの | 一五 |
|  | 金属造のもの（骨格材の肉厚が三ミリメートルを超え四ミリメートル以下のものに限る。） | 塩、チリ硝石その他の著しい潮解性を有する固体を常時蔵置するためのもの及び著しい蒸気の影響を直接全面的に受けるもの | 一九 |
|  | 金属造のもの（骨格材の肉厚が三ミリメートルを超え四ミリメートル以下のものに限る。） | その他のもの | 二四 |
|  | 金属造のもの（骨格材の肉厚が三ミリメートル以下のものに限る。） | 事務所用又は美術館用のもの及び左記以外のもの | 二二 |
|  | 金属造のもの（骨格材の肉厚が三ミリメートル以下のものに限る。） | 店舗用、住宅用、寄宿舎用、宿泊所用、学校用又は体育館用のもの | 一九 |
|  | 金属造のもの（骨格材の肉厚が三ミリメートル以下のものに限る。） | 飲食店用、貸席用、劇場用、演奏場用、映画館用又は舞踏場用のもの | 一九 |
|  | 金属造のもの（骨格材の肉厚が三ミリメートル以下のものに限る。） | 変電所用、発電所用、送受信所用、停車場用、車庫用、格納庫用、荷扱所用、映画製作ステージ用、屋内スケート場用、魚市場用又はと畜場用のもの | 一九 |
|  | 金属造のもの（骨格材の肉厚が三ミリメートル以下のものに限る。） | 旅館用、ホテル用又は病院用のもの | 一七 |
|  | 金属造のもの（骨格材の肉厚が三ミリメートル以下のものに限る。） | 公衆浴場用のもの | 一五 |
|  | 金属造のもの（骨格材の肉厚が三ミリメートル以下のものに限る。） | 工場（作業場を含む。）用又は倉庫用のもの |  |
|  | 金属造のもの（骨格材の肉厚が三ミリメートル以下のものに限る。） | 塩素、塩酸、硫酸、硝酸その他の著しい腐食性を有する液体又は気体の影響を直接全面的に受けるもの及び冷蔵倉庫用のもの | 一二 |
|  | 金属造のもの（骨格材の肉厚が三ミリメートル以下のものに限る。） | 塩、チリ硝石その他の著しい潮解性を有する固体を常時蔵置するためのもの及び著しい蒸気の影響を直接全面的に受けるもの | 一四 |
|  |  | その他のもの | 一七 |
|  | 木造又は合成樹脂造のもの | 事務所用又は美術館用のもの及び左記以外のもの | 二四 |
|  | 木造又は合成樹脂造のもの | 店舗用、住宅用、寄宿舎用、宿泊所用、学校用又は体育館用のもの | 二二 |
|  |  | 飲食店用、貸席用、劇場用、演奏場用、映画館用又は舞踏場用のもの | 二〇 |
|  |  | 変電所用、発電所用、送受信所用、停車場用、車庫用、格納庫用、荷扱所用、映画製作ステージ用、屋内スケート場用、魚市場用又はと畜場用のもの | 一七 |
|  |  | 旅館用、ホテル用又は病院用のもの | 一七 |
|  |  | 公衆浴場用のもの | 一二 |
|  |  | 工場（作業場を含む。）用又は倉庫用のもの |  |
|  |  | 塩素、塩酸、硫酸、硝酸その他の著しい腐食性を有する液体又は気体の影響を直接全面的に受けるもの及び冷蔵倉庫用のもの | 九 |
|  |  | 塩、チリ硝石その他の著しい潮解性を有する固体を常時蔵置するためのもの及び著しい蒸気の影響を直接全面的に受けるもの | 一一 |
|  |  | その他のもの | 一五 |
|  | 木骨モルタル造のもの | 事務所用又は美術館用のもの及び左記以外のもの | 二二 |
|  | 木骨モルタル造のもの | 店舗用、住宅用、寄宿舎用、宿泊所用、学校用又は体育館用のもの | 二〇 |
|  |  | 飲食店用、貸席用、劇場用、演奏場用、映画館用又は舞踏場用のもの | 一九 |
|  |  | 変電所用、発電所用、送受信所用、停車場用、車庫用、格納庫用、荷扱所用、映画製作ステージ用、屋内スケート場用、魚市場用又はと畜場用のもの | 一五 |
|  |  | 旅館用、ホテル用又は病院用のもの | 一五 |
|  |  | 公衆浴場用のもの | 一一 |
|  |  | 工場（作業場を含む。）用又は倉庫用のもの |  |
|  |  | 塩素、塩酸、硫酸、硝酸その他の著しい腐食性を有する液体又は気体の影響を直接全面的に受けるもの及び冷蔵倉庫用のもの | 七 |
|  |  | 塩、チリ硝石その他の著しい潮解性を有する固体を常時蔵置するためのもの及び著しい蒸気の影響を直接全面的に受けるもの | 一〇 |
|  |  | その他のもの | 一四 |
|  | 簡易建物 | 木製主要柱が十センチメートル角以下のもので、土居ぶき、杉皮ぶき、ルーフイングぶき又はトタンぶきのもの | 一〇 |
|  |  | 掘立造のもの及び仮設のもの | 七 |
| 建物附属設備 | 電気設備（照明設備を含む。） | 蓄電池電源設備 | 六 |
|  |  | その他のもの | 一五 |
|  | 給排水又は衛生設備及びガス設備 |  | 一五 |
|  | 冷房、暖房、通風又はボイラー設備 | 冷暖房設備（冷凍機の出力が二十二キロワット以下のもの） | 一三 |
|  |  | その他のもの | 一五 |
|  | 昇降機設備 | エレベーター | 一七 |
|  |  | エスカレーター | 一五 |
|  | 消火、排煙又は災害報知設備及び格納式避難設備 |  | 八 |
|  | エヤーカーテン又はドアー自動開閉設備 |  | 一二 |
|  | アーケード又は日よけ設備 | 主として金属製のもの | 一五 |
|  |  | その他のもの | 八 |
|  | 店用簡易装備 |  | 三 |
|  | 可動間仕切り | 簡易なもの | 三 |
|  |  | その他のもの | 一五 |
|  | 前掲のもの以外のもの及び前掲の区分によらないもの | 主として金属製のもの | 一八 |
|  |  | その他のもの | 一〇 |
| 構築物 | 鉄道業用又は軌道業用のもの | 軌条及びその附属品 | 二〇 |
|  |  | まくら木 |  |
|  |  | 木製のもの | 八 |
|  |  | コンクリート製のもの | 二〇 |
|  |  | 金属製のもの | 二〇 |
|  |  | 分岐器 | 一五 |
|  |  | 通信線、信号線及び電灯電力線 | 三〇 |
|  |  | 信号機 | 三〇 |
|  |  | 送配電線及びき電線 | 四〇 |
|  |  | 電車線及び第三軌条 | 二〇 |
|  |  | 帰線ボンド | 五 |
|  |  | 電線支持物（電柱及び腕木を除く。） | 三〇 |
|  |  | 木柱及び木塔（腕木を含む。） |  |
|  |  | 架空索道用のもの | 一五 |
|  |  | その他のもの | 二五 |
|  |  | 前掲以外のもの |  |
|  |  | 線路設備 |  |
|  |  | 軌道設備 |  |
|  |  | 道床 | 六〇 |
|  |  | その他のもの | 一六 |
|  |  | 土工設備 | 五七 |
|  |  | 橋りよう |  |
|  |  | 鉄筋コンクリート造のもの | 五〇 |
|  |  | 鉄骨造のもの | 四〇 |
|  |  | その他のもの | 一五 |
|  |  | トンネル |  |
|  |  | 鉄筋コンクリート造のもの | 六〇 |
|  |  | れんが造のもの | 三五 |
|  |  | その他のもの | 三〇 |
|  |  | その他のもの | 二一 |
|  |  | 停車場設備 | 三二 |
|  |  | 電路設備 |  |
|  |  | 鉄柱、鉄塔、コンクリート柱及びコンクリート塔 | 四五 |
|  |  | 踏切保安又は自動列車停止設備 | 一二 |
|  |  | その他のもの | 一九 |
|  |  | その他のもの | 四〇 |
|  | その他の鉄道用又は軌道用のもの | 軌条及びその附属品並びにまくら木 | 一五 |
|  |  | 道床 | 六〇 |
|  |  | 土工設備 | 五〇 |
|  |  | 橋りよう |  |
|  |  | 鉄筋コンクリート造のもの | 五〇 |
|  |  | 鉄骨造のもの | 四〇 |
|  |  | その他のもの | 一五 |
|  |  | トンネル |  |
|  |  | 鉄筋コンクリート造のもの | 六〇 |
|  |  | れんが造のもの | 三五 |
|  |  | その他のもの | 三〇 |
|  |  | その他のもの | 三〇 |
|  | 発電用又は送配電用のもの | 小水力発電用のもの（農山漁村電気導入促進法（昭和二十七年法律第三百五十八号）に基づき建設したものに限る。） | 三〇 |
|  |  | その他の水力発電用のもの（貯水池、調整池及び水路に限る。） | 五七 |
|  |  | 汽力発電用のもの（岩壁、さん橋、堤防、防波堤、煙突、その他汽力発電用のものをいう。） | 四一 |
|  |  | 送電用のもの |  |
|  |  | 地中電線路 | 二五 |
|  |  | 塔、柱、がい子、送電線、地線及び添加電話線 | 三六 |
|  |  | 配電用のもの |  |
|  |  | 鉄塔及び鉄柱 | 五〇 |
|  |  | 鉄筋コンクリート柱 | 四二 |
|  |  | 木柱 | 一五 |
|  |  | 配電線 | 三〇 |
|  |  | 引込線 | 二〇 |
|  |  | 添架電話線 | 三〇 |
|  |  | 地中電線路 | 二五 |
|  | 電気通信事業用のもの | 通信ケーブル |  |
|  |  | 光ファイバー製のもの | 一〇 |
|  |  | その他のもの | 一三 |
|  |  | 地中電線路 | 二七 |
|  |  | その他の線路設備 | 二一 |
|  | 放送用又は無線通信用のもの | 鉄塔及び鉄柱 |  |
|  |  | 円筒空中線式のもの | 三〇 |
|  |  | その他のもの | 四〇 |
|  |  | 鉄筋コンクリート柱 | 四二 |
|  |  | 木塔及び木柱 | 一〇 |
|  |  | アンテナ | 一〇 |
|  |  | 接地線及び放送用配線 | 一〇 |
|  | 農林業用のもの | 主としてコンクリート造、れんが造、石造又はブロック造のもの |  |
|  | 農林業用のもの | 果樹棚又はホップ棚 | 一四 |
|  |  | その他のもの | 一七 |
|  |  | 主として金属造のもの | 一四 |
|  |  | 主として木造のもの | 五 |
|  |  | 土管を主としたもの | 一〇 |
|  |  | その他のもの | 八 |
|  | 広告用のもの | 金属造のもの | 二〇 |
|  |  | その他のもの | 一〇 |
|  | 競技場用、運動場用、遊園地用又は学校用のもの | スタンド |  |
|  |  | 主として鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの | 四五 |
|  |  | 主として鉄骨造のもの | 三〇 |
|  |  | 主として木造のもの | 一〇 |
|  |  | 競輪場用競走路 |  |
|  |  | コンクリート敷のもの | 一五 |
|  |  | その他のもの | 一〇 |
|  |  | ネット設備 | 一五 |
|  |  | 野球場、陸上競技場、ゴルフコースその他のスポーツ場の排水その他の土工施設 | 三〇 |
|  |  | 水泳プール | 三〇 |
|  |  | その他のもの |  |
|  |  | 児童用のもの |  |
|  |  | すべり台、ぶらんこ、ジヤングルジムその他の遊戯用のもの | 一〇 |
|  |  | その他のもの | 一五 |
|  |  | その他のもの |  |
|  |  | 主として木造のもの | 一五 |
|  |  | その他のもの | 三〇 |
|  | 緑化施設及び庭園 | 工場緑化施設 | 七 |
|  |  | その他の緑化施設及び庭園（工場緑化施設に含まれるものを除く。） | 二〇 |
|  | 舗装道路及び舗装路面 | コンクリート敷、ブロック敷、れんが敷又は石敷のもの | 一五 |

--- split 1/2 → next: beppyo-1_2.txt ---
