doc_code	item_id	title	snippet	text_url
asbj_practical_solution	s0066-part-03	「信託の会計処理に関する実務上の取扱い」 (part 3/3)	託（受益者を定める方法の定めのない信託を含む。以下同じ。）をすることができるもの 17 同様に、金銭の信託の信託財産構成物として事業投資である子会社株式を保有している場合も、 個別財務諸表上は、総額法によることが適当であり、連結財務諸表上…	text/asbj_practical_solution/s0066-part-03.txt
asbj_practical_solution	s0067	「債券の利回りがマイナスとなる場合の退職給付債務等の計算における割引率に関する当面の取扱い」	[page 1] －1－ 実務対応報告第 34 号 債券の利回りがマイナスとなる場合の退職給付債務 等の計算における割引率に関する当面の取扱い 平 成2 9年3月2 9日 企業会計基準委員会 実務対応報告第 37 号「実務対応報告第 34…	text/asbj_practical_solution/s0067.txt
asbj_practical_solution	s0068-part-01	「繰延資産の会計処理に関する当面の取扱い」 (part 1/2)	[page 1] - 1 - 実務対応報告第 19 号 繰延資産の会計処理に関する当面の取扱い 平成 18年 8月 11日 改正平成 22 年 2 月 19 日 企業会計基準委員会 本実務対応報告は、2024 年 11 月 1 日までに公…	text/asbj_practical_solution/s0068-part-01.txt
asbj_practical_solution	s0068-part-02	「繰延資産の会計処理に関する当面の取扱い」 (part 2/2)	本実務対応報告では、開発費を支出時に費用として処理しない場合には、これまでと 同様、繰延資産に計上することとした。 開発費の効果の及ぶ期間の判断にあたり、支出の原因となった新技術や資源の利用可 能期間が限られている場合には、その期間内（た…	text/asbj_practical_solution/s0068-part-02.txt
asbj_practical_solution	s0069	「現在開発中の会計基準に関する今後の計画」の改訂	[page 1] - 1 - 2026 年 2 月 4 日 現在開発中の会計基準に関する今後の計画 2026年2月4日現在、企業会計基準委員会が開発中（開発予定を含む。）の会計基準に関 する検討状況及び今後の計画は、次のとおりである。 な…	text/asbj_practical_solution/s0069.txt
asbj_practical_solution	s0070	「外貨建転換社債型新株予約権付社債の発行者側の会計処理に関する実務上の取扱い」	[page 1] - 1 – 実務対応報告第 11 号 外貨建転換社債型新株予約権付社債の発行者側の 会計処理に関する実務上の取扱い 平成 15 年 9 月 22 日 企業会計基準委員会 本実務対応報告は、2024 年 11 月 1 日ま…	text/asbj_practical_solution/s0070.txt
asbj_practical_solution	s0071	「電子記録債権に係る会計処理及び表示についての実務上の取扱い」	[page 1] 実務対応報告第 27 号 電子記録債権に係る会計処理及び表示についての 実務上の取扱い 平 成2 1年4月9日 企業会計基準委員会 目 的 平成 19 年 6 月 27 日に公布され、平成 20 年 12 月 1 日に施…	text/asbj_practical_solution/s0071.txt
asbj_practical_solution	s0072	「コマーシャル・ペーパーの無券面化に伴う発行者の会計処理及び表示についての実務上の取扱い」	[page 1]  ߸ ऀͷ  ຿্ͷऔѻ͍  ೔ ४ҕһձ  ४౳ʹΑΔमਖ਼͕൓ ө͞Ε͍ͯΔɻ ೔վਖ਼ʣ  ౳ͷৼସ ج ࣮ ໰͕ଟ͍ɻैདྷɺ๏཯্ɺ໿ଋख ࣾظ ࠴ 1ʯͱ͍͏ɻʣͱҐஔ෇͚ΒΕ͍ͯΔɻ͔͠͠ͳ ܗ …	text/asbj_practical_solution/s0072.txt
asbj_practical_solution	s0073	icon-file-text PDF版の資料のダウンロードはこちら	[page 1] - 1 - 企業会計基準等ができるまで 企業会計基準委員会（以下、組織を指す場合に「ASBJ」といいます。委員の名簿はこちら）に よる企業会計基準等の開発は、公益財団法人財務会計基準機構（以下「FASF」といいます。 ）…	text/asbj_practical_solution/s0073.txt
asbj_practical_solution	s0074-part-01	「排出量取引の会計処理に関する当面の取扱い」 (part 1/2)	[page 1] - 1 - 実務対応報告第 15 号 排出量取引の会計処理に関する当面の取扱い 平成 16 年 11 月 30 日 改正 平 成1 8年7月1 4日 最終改正 平 成2 1年6月2 3日 企業会計基準委員会 本実務対応報…	text/asbj_practical_solution/s0074-part-01.txt
asbj_practical_solution	s0074-part-02	「排出量取引の会計処理に関する当面の取扱い」 (part 2/2)	第三者へ売却する可能性がないと見込まれる場合には費用とすることが適当である。 (2) 出資を通じて取得する場合 専ら第三者に販売する目的で取得する場合（3(2)参照）と同様に、当該出資は、個 別財務諸表上、金融商品会計基準に従って会計処理…	text/asbj_practical_solution/s0074-part-02.txt
asbj_practical_solution	s0075-part-01	「投資事業組合に対する支配力基準及び影響力基準の適用に関する実務上の取扱い」 (part 1/3)	[page 1] - 1 - 実務対応報告第 20 号 投資事業組合に対する支配力基準及び影響力基準の 適用に関する実務上の取扱い 平成 18 年 9 月 8 日 改正平成 21 年 3 月 27 日 最終改正平成 23 年 3 月 25…	text/asbj_practical_solution/s0075-part-01.txt
