doc_code	item_id	title	snippet	text_url
fsa_kigyou_gijiroku	s0025-part-01	議事録 (part 1/6)	Note: This page is machine translated. Translated pages are not necessarily correct. Tweet 平成15年３月27日 金融庁 企業会計審議会第25回第一…	text/fsa_kigyou_gijiroku/s0025-part-01.txt
fsa_kigyou_gijiroku	s0025-part-02	議事録 (part 2/6)	それから、摘要の真ん中から下ぐらいに「「企業」を「報告単位」に変更」とございますが、これは定義の１で企業結合の定義の一番最後が報告単位にということになってございましたので、ここの４の「取得とは」と、それから５の「持分の結合とは」の最後を「…	text/fsa_kigyou_gijiroku/s0025-part-02.txt
fsa_kigyou_gijiroku	s0025-part-03	議事録 (part 3/6)	ここで言う商法の285条の中で、有償にて譲り受けという文言が入ってございますから、この有償にて譲り受けというのが、ここのタタキ台で言う企業結合の定義を満たさない場合にはその分がはみ出すのかなというようには思いますけれども。現段階ではそのよ…	text/fsa_kigyou_gijiroku/s0025-part-03.txt
fsa_kigyou_gijiroku	s0025-part-04	議事録 (part 4/6)	もしお差し支えなければ、極めてクリティカルな問題を取り上げて、今日もご検討いただきたいと思います。それは当然、ご想像がつくと思いますが、資料２でいきますと、４ページの注の３にあるような問題でございます。つまり、その文章を読みますと、結合後…	text/fsa_kigyou_gijiroku/s0025-part-04.txt
fsa_kigyou_gijiroku	s0025-part-05	議事録 (part 5/6)	持分プーリング法が濫用されるかどうかということは、既にもうこれは歴史が証明しているのではないでしょうか。諸外国の例を見たら、それに困って、とうとうああいう方向に行ったわけでして、私はやはり歴史に学ばないとしようがないのではないかなという気…	text/fsa_kigyou_gijiroku/s0025-part-05.txt
fsa_kigyou_gijiroku	s0025-part-06	議事録 (part 6/6)	大変先生から難しいご質問されたんですけれども、つまり経営やるときに、やはり50・50でいくのか、マジョリティをとるのか、これは当然考えますよ、経営は必ずや。しかし、ここは日本的経営の非常に妙なところでして、つまり合併してアメリカのように企…	text/fsa_kigyou_gijiroku/s0025-part-06.txt
fsa_kigyou_gijiroku	s0026-part-01	議事録 (part 1/5)	Note: This page is machine translated. Translated pages are not necessarily correct. Tweet 平成15年６月13日 金融庁 企業会計審議会第26回第一…	text/fsa_kigyou_gijiroku/s0026-part-01.txt
fsa_kigyou_gijiroku	s0026-part-02	議事録 (part 2/5)	これはむしろご当局の方にお願いすることかもしれませんけれども、あそこではたしか25％以上の出資のものを対象にしておったと思いますが、そのようなことも出ています。そのような点もありまして、税についてはそのようなことがあるけれども、会計はこう…	text/fsa_kigyou_gijiroku/s0026-part-02.txt
fsa_kigyou_gijiroku	s0026-part-03	議事録 (part 3/5)	のれん、正と言うと怒られてしまうかもしれませんが、正も負もコンシステントに考えたときに、のれんが生じるということは、資産の評価額にファームスペシフィックなキャッシュ・フローは反映されていないはずであって、評価額にその企業固有のキャッシュ・…	text/fsa_kigyou_gijiroku/s0026-part-03.txt
fsa_kigyou_gijiroku	s0026-part-04	議事録 (part 4/5)	他にご発言は、ないでしょうか。 おおむね最終局面に来ている議論ですので、周辺の問題点をきちっと詰めなければならないのですが、同時に、冒頭に八木委員、伊藤委員あるいは遠藤委員が述べられた本丸部分も含めてできる限りこの場で合意形成をさせていた…	text/fsa_kigyou_gijiroku/s0026-part-04.txt
fsa_kigyou_gijiroku	s0026-part-05	議事録 (part 5/5)	意見としてお聞きいただきたいと思いますが、数値基準は大変明快なんですけれども、逆に言えば、それを利用してある種の不正が働く、アメリカがよい例なんですね。一番厳しい基準は実質だと私は思います。つまり、どのような形式をとろうとも、実質支配が行…	text/fsa_kigyou_gijiroku/s0026-part-05.txt
fsa_kigyou_gijiroku	s0027-part-01	議事録 (part 1/6)	Note: This page is machine translated. Translated pages are not necessarily correct. Tweet 平成15年８月８日 金融庁 企業会計審議会第27回第一部…	text/fsa_kigyou_gijiroku/s0027-part-01.txt
